Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-01-2026,1,9759.28,23795.28,4782.39,4782.39,2794.57,2799.40
01-01-2026,2,10809.63,24832.33,5353.33,5353.33,2769.25,2768.74
01-01-2026,3,13285.58,25682.80,7006.71,7006.71,2889.67,2890.00
01-01-2026,4,14113.85,25612.15,7598.78,7598.78,2911.50,2911.64
01-01-2026,5,13261.13,23411.75,6642.53,6642.53,2963.13,2964.43
01-01-2026,6,13470.85,18157.25,6560.34,6560.34,3359.30,3360.10
01-01-2026,7,16142.28,12847.38,8486.70,8486.70,4292.04,4305.26
01-01-2026,8,21535.23,9993.45,9281.95,9281.95,8910.22,8787.06
01-01-2026,9,21152.55,9758.05,9502.45,9502.45,8900.17,8841.24
01-01-2026,10,19490.65,11379.60,9947.55,9947.55,5488.04,5586.07
01-01-2026,11,14575.53,10777.30,6190.46,6190.46,3476.73,3492.08
01-01-2026,12,13882.03,16340.73,5693.18,5693.18,3277.05,3277.36
01-01-2026,13,12096.83,23414.63,6344.03,6344.03,3024.86,3032.54
01-01-2026,14,10747.88,27555.83,5724.82,5724.82,2605.39,2602.51
01-01-2026,15,13374.33,24054.53,6688.66,6688.66,2680.70,2680.31
01-01-2026,16,12998.55,18129.88,6136.09,6136.09,3024.17,3022.99
01-01-2026,17,14354.63,14142.73,7251.53,7251.53,3676.69,3705.98
01-01-2026,18,16109.08,6514.38,5683.12,5683.12,7532.60,7284.08
01-01-2026,19,17607.45,4986.93,4766.92,4766.92,10000.00,10000.00
01-01-2026,20,13948.33,6166.73,5631.43,5631.43,7828.54,7755.37
01-01-2026,21,12072.75,7974.10,5547.85,5547.85,4740.96,4752.22
01-01-2026,22,11830.25,12723.08,6325.73,6325.73,4164.81,4171.52
01-01-2026,23,10591.70,18069.60,5447.64,5447.64,3309.18,3310.69
01-01-2026,24,9885.80,22532.05,5023.75,5023.75,3034.24,3034.53
02-01-2026,1,11728.23,25811.93,5823.09,5823.09,2911.33,2911.37
02-01-2026,2,12462.78,27064.90,5824.46,5824.46,2670.68,2670.67
02-01-2026,3,13438.05,28607.80,6816.04,6816.04,2676.76,2676.76
02-01-2026,4,13807.13,28744.80,7956.94,7956.94,2767.82,2767.83
02-01-2026,5,13998.80,27597.48,7594.28,7594.28,2866.21,2865.44
02-01-2026,6,13466.98,20552.28,7533.18,7533.18,3358.65,3359.18
02-01-2026,7,15693.90,13366.00,8719.80,8719.80,4253.51,4255.32
02-01-2026,8,20177.95,10919.15,9938.00,9938.00,8838.58,8876.44
02-01-2026,9,18697.23,11373.90,9847.52,9847.52,7336.41,7532.91
02-01-2026,10,18962.68,12124.00,9205.45,9205.45,4687.56,4688.30
02-01-2026,11,17813.85,13630.70,7924.34,7924.34,3938.83,3953.37
02-01-2026,12,16621.50,17236.13,7156.35,7156.35,3582.09,3580.08
02-01-2026,13,15204.83,23270.50,7326.68,7326.68,3341.59,3341.79
02-01-2026,14,14119.28,27236.73,6305.35,6305.35,3131.71,3129.80
02-01-2026,15,16302.45,23636.88,7721.85,7721.85,3136.15,3138.76
02-01-2026,16,16894.13,17515.75,8457.75,8457.75,3482.55,3486.52
02-01-2026,17,19021.58,11965.75,9572.18,9572.18,5987.16,5892.44
02-01-2026,18,21314.33,5293.18,4853.16,4853.16,10000.00,10000.00
02-01-2026,19,23335.70,4420.65,3980.65,3980.65,10000.00,10000.00
02-01-2026,20,18830.58,4923.25,4483.25,4483.25,10000.00,10000.00
02-01-2026,21,14915.35,7307.60,6282.68,6282.68,5414.62,5386.31
02-01-2026,22,12664.03,11453.83,6373.76,6373.76,4455.40,4448.86
02-01-2026,23,11649.25,16847.00,6186.88,6186.88,3903.32,3901.87
02-01-2026,24,10878.75,21676.83,5494.95,5494.95,3388.90,3389.61
03-01-2026,1,12127.98,28452.50,6733.75,6733.75,2929.32,2929.94
03-01-2026,2,12667.18,29780.90,6880.24,6880.24,2765.32,2765.12
03-01-2026,3,13422.08,30553.70,7441.50,7441.50,2695.51,2695.44
03-01-2026,4,13864.00,30898.10,8021.22,8021.22,2690.61,2690.86
03-01-2026,5,13485.23,29791.18,7409.80,7409.80,2792.93,2791.08
03-01-2026,6,12688.38,22362.65,6365.50,6365.50,3165.53,3159.27
03-01-2026,7,13778.70,14476.53,6483.18,6483.18,3944.32,3946.84
03-01-2026,8,18091.53,12488.68,9593.66,9593.66,6831.63,7008.59
03-01-2026,9,18402.38,12248.28,9689.05,9689.05,5086.88,5099.57
03-01-2026,10,20542.65,13116.33,9976.70,9976.70,4731.67,4734.76
03-01-2026,11,16498.70,12903.13,7568.45,7568.45,4104.43,4109.55
03-01-2026,12,16238.20,18005.83,8396.23,8396.23,3660.31,3659.35
03-01-2026,13,14482.90,24137.40,7905.93,7905.93,3391.37,3392.96
03-01-2026,14,13322.55,28096.68,6401.98,6401.98,3229.31,3229.50
03-01-2026,15,14885.48,24815.73,7393.00,7393.00,3256.65,3260.23
03-01-2026,16,16262.73,19512.85,8989.23,8989.23,3565.62,3571.70
03-01-2026,17,16827.70,13820.48,8352.55,8352.55,4195.93,4215.15
03-01-2026,18,21239.90,7292.35,6063.04,6063.04,10000.00,10000.00
03-01-2026,19,22907.60,5757.63,4603.32,4603.32,10000.00,10000.00
03-01-2026,20,18180.25,7200.95,5878.48,5878.48,9399.79,9387.72
03-01-2026,21,14067.98,9804.65,6997.05,6997.05,4931.65,4928.92
03-01-2026,22,12665.85,13578.43,7116.95,7116.95,4224.79,4216.67
03-01-2026,23,12830.98,19764.08,7216.53,7216.53,3752.25,3751.55
03-01-2026,24,11903.58,24336.90,6888.26,6888.26,3023.06,3023.33
04-01-2026,1,11899.13,27567.95,5755.20,5755.20,2786.80,2786.90
04-01-2026,2,12455.58,29002.95,6414.04,6414.04,2715.41,2713.35
04-01-2026,3,13659.00,29697.60,7149.30,7149.30,2674.87,2674.91
04-01-2026,4,13062.78,29923.03,7104.00,7104.00,2670.09,2670.08
04-01-2026,5,13675.68,28467.45,6836.84,6836.84,2735.35,2735.43
04-01-2026,6,13621.25,22969.85,6489.60,6489.60,3116.26,3106.93
04-01-2026,7,15290.03,16966.03,7995.50,7995.50,3836.97,3832.81
04-01-2026,8,17804.60,15740.20,9293.43,9293.43,4455.92,4460.35
04-01-2026,9,17736.95,15538.20,8509.88,8509.88,4376.60,4375.72
04-01-2026,10,16513.13,14036.03,7617.61,7617.61,4051.32,4064.21
04-01-2026,11,14443.15,14974.73,6567.18,6567.18,3453.94,3456.93
04-01-2026,12,13574.33,21692.73,6029.86,6029.86,2930.76,2930.58
04-01-2026,13,12470.10,26647.28,6173.21,6173.21,2841.51,2842.07
04-01-2026,14,11118.10,30928.93,5746.90,5746.90,2655.38,2654.71
04-01-2026,15,13006.68,29448.23,5931.82,5931.82,2632.83,2631.56
04-01-2026,16,12664.63,22869.98,5984.53,5984.53,2796.24,2799.86
04-01-2026,17,14120.80,19363.40,8101.27,8101.27,3301.43,3320.00
04-01-2026,18,13715.98,12300.20,6513.95,6513.95,4149.18,4140.60
04-01-2026,19,14241.48,9634.98,5880.28,5880.28,5080.06,5084.19
