Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-05-2026,1,10298.70,4171.55,3919.34,3919.34,10000.00,10000.00
01-05-2026,2,8787.58,4709.63,4103.65,4103.65,9374.86,9362.44
01-05-2026,3,8193.28,6639.33,4415.53,4415.53,5109.03,5103.62
01-05-2026,4,8359.20,8621.35,4636.23,4636.23,4645.08,4646.55
01-05-2026,5,7694.65,9239.80,4258.83,4258.83,4452.13,4452.22
01-05-2026,6,7309.85,10759.85,4282.10,4282.10,4211.68,4198.63
01-05-2026,7,7306.65,15074.03,5193.38,5193.38,3582.24,3603.91
01-05-2026,8,5058.25,26588.90,3648.97,3648.97,912.37,990.46
01-05-2026,9,4270.03,40367.15,3025.63,3025.63,299.35,299.34
01-05-2026,10,4690.50,47219.60,3646.10,3646.10,274.03,274.57
01-05-2026,11,3571.98,49380.80,3527.58,3527.58,274.21,274.64
01-05-2026,12,3372.13,50241.45,3327.73,3327.73,248.90,248.90
01-05-2026,13,3251.53,50745.23,3207.13,3207.13,248.84,248.84
01-05-2026,14,3410.73,50293.20,3366.33,3366.33,248.90,248.90
01-05-2026,15,4128.55,42840.40,4084.02,4084.02,300.10,300.16
01-05-2026,16,5173.90,34742.30,4939.85,4939.85,1681.51,1686.79
01-05-2026,17,6055.13,28167.73,5004.43,5004.43,300.73,300.73
01-05-2026,18,5900.93,17334.20,4762.13,4762.13,939.71,939.82
01-05-2026,19,5435.70,9680.03,3673.58,3673.58,3581.20,3464.23
01-05-2026,20,7521.80,6568.85,4085.03,4085.03,7147.56,7169.36
01-05-2026,21,7269.10,5939.45,3926.95,3926.95,8922.25,8937.30
01-05-2026,22,8219.85,5742.23,4009.12,4009.12,10000.00,10000.00
01-05-2026,23,10326.75,5040.08,3362.24,3362.24,10000.00,10000.00
01-05-2026,24,9136.58,3892.70,2905.30,2905.30,10000.00,10000.00
02-05-2026,1,9359.45,9875.90,3985.35,3985.35,2941.35,2940.40
02-05-2026,2,9507.33,12016.10,4190.65,4190.65,2820.77,2820.77
02-05-2026,3,9315.03,13360.85,4036.90,4036.90,2820.27,2820.27
02-05-2026,4,9172.03,13360.30,3869.83,3869.83,2829.83,2829.92
02-05-2026,5,9246.15,14156.55,4051.60,4051.60,2820.66,2820.66
02-05-2026,6,8955.55,14236.78,4065.17,4065.17,2834.28,2835.15
02-05-2026,7,10317.70,18276.40,5959.60,5959.60,2869.28,2868.89
02-05-2026,8,6957.38,26631.28,4763.37,4763.37,1403.00,1485.83
02-05-2026,9,5414.83,42544.28,4074.32,4074.32,200.58,200.58
