Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-04-2026,1,14004.25,8857.48,7711.18,7711.18,5999.42,5999.42
01-04-2026,2,14520.25,11459.88,8473.55,8473.55,5333.68,5328.61
01-04-2026,3,15078.50,13553.25,9253.40,9253.40,4766.74,4766.75
01-04-2026,4,15689.30,14974.33,9779.78,9779.78,4542.85,4542.78
01-04-2026,5,16340.60,14486.40,10334.80,10334.80,5017.65,5020.66
01-04-2026,6,16264.65,12730.43,10423.20,10423.20,8124.39,8119.20
01-04-2026,7,17627.50,14141.25,11372.51,11372.51,7624.50,7523.71
01-04-2026,8,17176.15,17750.23,11204.25,11204.25,4330.86,4372.57
01-04-2026,9,13312.18,25972.78,8802.95,8802.95,2888.35,2903.55
01-04-2026,10,11515.45,33440.95,8126.06,8126.06,2103.31,2101.78
01-04-2026,11,9104.03,39330.58,8206.21,8206.21,1732.70,1736.13
01-04-2026,12,8692.98,43495.15,8099.73,8099.73,1363.50,1364.26
01-04-2026,13,8868.10,44776.88,8342.24,8342.24,996.24,996.23
01-04-2026,14,8597.88,46884.53,8080.83,8080.83,983.77,983.77
01-04-2026,15,10038.15,41962.48,8860.65,8860.65,1702.99,1707.73
01-04-2026,16,11681.60,34786.20,9248.25,9248.25,2411.71,2417.53
01-04-2026,17,13642.05,27170.63,9468.83,9468.83,3061.03,3048.37
01-04-2026,18,13223.63,16840.38,7317.62,7317.62,3618.44,3619.76
01-04-2026,19,14312.70,11425.13,7352.30,7352.30,6537.60,6455.94
01-04-2026,20,15196.40,7909.40,5710.09,5710.09,10000.00,10000.00
01-04-2026,21,13337.00,8979.78,6712.67,6712.67,9749.70,9748.69
01-04-2026,22,13210.13,8197.48,6069.44,6069.44,9874.88,9867.99
01-04-2026,23,13469.20,6456.25,4409.65,4409.65,10000.00,10000.00
01-04-2026,24,12822.88,5995.88,4780.27,4780.27,10000.00,10000.00
02-04-2026,1,16766.70,9441.13,8908.20,8908.20,9000.32,9000.30
02-04-2026,2,16603.50,11297.53,9439.88,9439.88,5559.28,5558.69
02-04-2026,3,17000.45,13123.25,10126.13,10126.13,4847.39,4847.59
02-04-2026,4,17605.95,14312.43,10576.43,10576.43,4559.05,4559.12
02-04-2026,5,17628.13,13374.25,10425.51,10425.51,5474.32,5469.26
02-04-2026,6,17746.93,11684.90,10034.19,10034.19,10000.00,10000.00
02-04-2026,7,19531.08,13838.18,11656.22,11656.22,7837.35,7825.23
02-04-2026,8,19425.40,16735.48,12224.60,12224.60,4870.96,4900.63
02-04-2026,9,15452.20,21776.25,9742.98,9742.98,3360.13,3375.50
02-04-2026,10,14200.05,32022.20,9706.85,9706.85,2856.88,2856.48
02-04-2026,11,12644.38,38330.23,9568.54,9568.54,2378.19,2377.83
02-04-2026,12,13722.55,43423.85,10194.12,10194.12,2498.68,2499.25
02-04-2026,13,14091.40,47666.88,10861.13,10861.13,2344.19,2342.45
02-04-2026,14,13519.40,49223.08,10978.34,10978.34,2106.79,2106.99
02-04-2026,15,14674.58,42677.13,11515.13,11515.13,2676.37,2678.78
02-04-2026,16,14782.10,33344.03,11870.86,11870.86,3076.22,3075.29
02-04-2026,17,15970.25,23164.65,10183.12,10183.12,3428.55,3414.27
02-04-2026,18,15908.30,14073.08,7999.50,7999.50,4053.72,4053.99
02-04-2026,19,15098.38,10085.65,7176.55,7176.55,6762.63,6748.30
02-04-2026,20,14952.85,8030.63,5989.22,5989.22,10000.00,10000.00
02-04-2026,21,13961.38,9774.85,6765.73,6765.73,8124.59,8122.44
02-04-2026,22,14148.05,9029.35,6638.75,6638.75,8685.34,8690.74
02-04-2026,23,14792.30,7520.53,5531.82,5531.82,10000.00,10000.00
02-04-2026,24,14608.90,7371.73,6173.30,6173.30,10000.00,10000.00
03-04-2026,1,14900.55,9730.40,7236.53,7236.53,5294.44,5291.51
03-04-2026,2,14943.28,11202.33,7463.65,7463.65,4699.51,4709.33
03-04-2026,3,15963.78,12801.23,8594.73,8594.73,4650.88,4651.52
03-04-2026,4,16134.60,13709.50,8648.68,8648.68,4563.13,4563.19
03-04-2026,5,15678.00,13090.93,8163.78,8163.78,4504.76,4510.98
03-04-2026,6,15488.78,10984.55,8075.20,8075.20,6294.50,6323.38
03-04-2026,7,18203.50,11204.68,9318.76,9318.76,9959.50,9962.99
03-04-2026,8,17526.33,15206.85,10284.05,10284.05,5567.89,5722.62
03-04-2026,9,13798.23,23265.63,8500.30,8500.30,2901.99,2904.56
03-04-2026,10,12944.53,33870.10,9256.90,9256.90,2275.37,2268.90
03-04-2026,11,11327.15,43555.88,10504.03,10504.03,1961.67,1961.22
03-04-2026,12,12099.25,48888.40,11333.95,11333.95,1907.85,1908.20
03-04-2026,13,12436.70,51362.60,11743.50,11743.50,1707.18,1707.71
03-04-2026,14,12020.95,51921.00,11413.95,11413.95,1545.43,1545.44
03-04-2026,15,13217.45,46600.03,11895.03,11895.03,1930.39,1920.73
03-04-2026,16,14127.73,37697.25,10565.79,10565.79,2519.29,2520.89
03-04-2026,17,15127.33,26624.00,9715.33,9715.33,2992.81,2987.62
03-04-2026,18,14182.35,15896.83,7477.80,7477.80,3496.18,3485.25
03-04-2026,19,14338.70,11844.05,7142.93,7142.93,4552.10,4558.76
03-04-2026,20,15458.68,9177.43,6588.20,6588.20,9012.24,9043.81
03-04-2026,21,15294.60,11417.55,7527.11,7527.11,5528.89,5523.79
03-04-2026,22,14512.53,10241.48,6757.08,6757.08,5465.71,5468.54
03-04-2026,23,14804.10,8702.43,6180.85,6180.85,7527.46,7526.56
03-04-2026,24,14585.70,8266.43,6214.54,6214.54,6054.63,6064.85
04-04-2026,1,17393.03,10169.35,9594.15,9594.15,9255.99,9253.52
04-04-2026,2,17037.03,11560.28,9658.12,9658.12,5906.95,5915.32
04-04-2026,3,16573.63,13633.05,9520.87,9520.87,4884.60,4882.10
