Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-06-2026,1,15047.38,10002.70,8153.92,8153.92,7229.46,7246.99
01-06-2026,2,13004.13,12242.45,7169.98,7169.98,3948.10,3953.42
01-06-2026,3,12726.18,13624.80,7240.12,7240.12,3608.80,3608.87
01-06-2026,4,11529.95,14491.03,6379.43,6379.43,3465.99,3466.26
01-06-2026,5,11957.78,14224.38,6955.23,6955.23,3591.48,3591.99
01-06-2026,6,12508.73,13283.48,7515.24,7515.24,3806.95,3816.50
01-06-2026,7,12329.28,15745.18,7775.52,7775.52,3674.84,3685.73
01-06-2026,8,9836.38,27063.03,6550.78,6550.78,2635.95,2633.53
01-06-2026,9,9090.95,38659.28,6557.60,6557.60,1849.84,1842.40
01-06-2026,10,8604.25,44961.98,6652.77,6652.77,1163.10,1164.10
01-06-2026,11,8170.50,44265.38,6831.40,6831.40,1048.82,1048.81
01-06-2026,12,8109.00,43600.30,6969.90,6969.90,1048.80,1048.80
01-06-2026,13,7283.55,41796.55,6794.44,6794.44,1048.85,1048.85
01-06-2026,14,7469.58,41282.53,6841.40,6841.40,1384.22,1386.12
01-06-2026,15,10311.33,37251.00,8941.78,8941.78,1842.98,1850.90
01-06-2026,16,11085.63,29641.40,8714.38,8714.38,2406.71,2399.86
01-06-2026,17,11116.73,22806.75,7977.00,7977.00,3036.07,3035.56
01-06-2026,18,11511.38,15477.60,7775.38,7775.38,3665.54,3664.70
01-06-2026,19,12936.55,11373.38,6717.50,6717.50,5607.29,5559.43
01-06-2026,20,17031.83,8674.70,5931.02,5931.02,10000.00,10000.00
01-06-2026,21,16007.73,8277.05,5529.70,5529.70,10000.00,10000.00
01-06-2026,22,15568.48,7790.25,5046.14,5046.14,10000.00,10000.00
01-06-2026,23,19330.50,7622.88,4949.12,4949.12,10000.00,10000.00
01-06-2026,24,19373.98,6344.88,4583.23,4583.23,10000.00,10000.00
02-06-2026,1,19266.23,4570.28,3829.29,3829.29,10000.00,10000.00
02-06-2026,2,16594.45,6120.35,5122.65,5122.65,10000.00,10000.00
02-06-2026,3,15288.40,7207.40,5908.62,5908.62,9824.94,9821.42
02-06-2026,4,13884.73,9788.35,6458.47,6458.47,4662.29,4663.10
02-06-2026,5,13724.88,11392.30,6586.83,6586.83,4160.57,4160.57
02-06-2026,6,13309.73,11565.40,6822.30,6822.30,4317.10,4317.84
02-06-2026,7,13118.60,14798.20,7739.18,7739.18,3932.35,3929.70
02-06-2026,8,11181.48,24420.05,6953.70,6953.70,2821.28,2813.93
02-06-2026,9,10379.85,37556.38,7140.35,7140.35,2093.71,2089.79
02-06-2026,10,11061.28,45591.43,8677.83,8677.83,1706.01,1704.85
02-06-2026,11,10408.33,47183.35,8493.15,8493.15,1547.04,1547.17
02-06-2026,12,10308.18,46514.40,8359.50,8359.50,1537.52,1537.52
