Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-02-2026,1,12131.73,33413.10,7238.93,7238.93,2453.92,2454.37
01-02-2026,2,12425.08,36954.20,7537.35,7537.35,2394.90,2395.02
01-02-2026,3,12833.05,36872.20,8007.18,8007.18,2361.68,2361.61
01-02-2026,4,13547.48,36926.50,8741.34,8741.34,2364.09,2364.32
01-02-2026,5,12811.30,35377.05,7962.05,7962.05,2376.28,2376.46
01-02-2026,6,13522.28,25080.28,7556.60,7556.60,2832.82,2824.48
01-02-2026,7,14478.20,16488.63,7485.47,7485.47,3200.26,3211.92
01-02-2026,8,19032.40,15066.23,10639.28,10639.28,4514.43,4542.20
01-02-2026,9,19914.23,18018.00,11486.34,11486.34,3893.09,3891.25
01-02-2026,10,19288.48,21963.58,12639.83,12639.83,3033.94,3034.43
01-02-2026,11,16679.88,28261.95,11951.19,11951.19,2347.53,2349.64
01-02-2026,12,13975.85,36981.75,10622.35,10622.35,1875.56,1878.10
01-02-2026,13,11533.15,44448.98,9492.72,9492.72,1797.79,1798.33
01-02-2026,14,10166.18,49871.18,8892.96,8892.96,1219.15,1221.28
01-02-2026,15,11953.75,47411.40,9568.02,9568.02,1672.88,1675.59
01-02-2026,16,12241.38,39867.38,9943.53,9943.53,1732.96,1732.75
01-02-2026,17,11614.93,30272.03,8764.07,8764.07,1969.08,1956.17
01-02-2026,18,12522.63,20556.48,8403.18,8403.18,2857.91,2870.60
01-02-2026,19,14369.28,17173.78,9401.48,9401.48,3919.60,3919.74
01-02-2026,20,13615.88,15584.85,8515.33,8515.33,3710.71,3710.63
01-02-2026,21,12747.33,17226.73,8382.15,8382.15,3362.39,3366.82
01-02-2026,22,11362.93,20831.15,7501.89,7501.89,3015.33,3015.07
01-02-2026,23,11405.90,27456.85,7139.23,7139.23,2778.47,2782.08
01-02-2026,24,10376.63,31729.68,6313.56,6313.56,2349.18,2355.11
02-02-2026,1,13190.58,32032.88,7387.12,7387.12,2572.19,2572.12
02-02-2026,2,13559.38,35615.03,8320.93,8320.93,2457.21,2455.97
02-02-2026,3,14601.33,35945.30,9613.43,9613.43,2450.66,2450.67
02-02-2026,4,14895.38,36285.20,9890.39,9890.39,2450.52,2450.62
02-02-2026,5,13950.58,34898.45,8729.43,8729.43,2453.24,2451.29
02-02-2026,6,14427.08,24904.65,7999.99,7999.99,2989.64,2984.94
02-02-2026,7,15967.40,16296.55,8055.50,8055.50,3616.85,3629.90
02-02-2026,8,22778.63,15169.53,11627.21,11627.21,5580.90,5609.23
02-02-2026,9,23929.40,17531.88,12909.33,12909.33,4591.36,4575.18
02-02-2026,10,22658.50,20611.25,13324.34,13324.34,3767.69,3778.12
02-02-2026,11,18301.23,24084.25,10546.77,10546.77,2798.58,2803.80
02-02-2026,12,15808.75,30785.93,9462.60,9462.60,2397.74,2397.15
02-02-2026,13,13813.30,38055.73,9034.08,9034.08,2298.16,2298.40
02-02-2026,14,11796.70,44122.58,8956.39,8956.39,1991.53,1991.66
02-02-2026,15,13685.08,40928.35,9766.50,9766.50,1943.10,1942.36
02-02-2026,16,15737.20,34316.88,10867.05,10867.05,2220.18,2217.48
02-02-2026,17,15969.00,26382.73,9918.71,9918.71,2533.31,2528.03
02-02-2026,18,15629.10,17775.00,9467.61,9467.61,3507.70,3531.35
02-02-2026,19,18059.65,13614.55,10240.00,10240.00,5591.45,5586.36
02-02-2026,20,17059.60,13010.78,9064.62,9064.62,4845.44,4863.64
02-02-2026,21,14991.18,14142.70,8688.28,8688.28,3840.87,3842.26
02-02-2026,22,14192.85,17956.70,8904.85,8904.85,3543.98,3543.22
02-02-2026,23,13207.38,23893.60,8039.03,8039.03,3123.83,3125.93
02-02-2026,24,12603.95,28506.48,6919.82,6919.82,2825.10,2825.66
03-02-2026,1,12543.48,32843.90,7407.33,7407.33,2473.01,2474.06
03-02-2026,2,13219.90,35858.85,8215.83,8215.83,2462.87,2462.37
03-02-2026,3,13577.38,36092.38,8963.70,8963.70,2430.14,2430.54
03-02-2026,4,14085.10,36447.45,9337.55,9337.55,2450.30,2450.43
03-02-2026,5,12565.35,34648.43,8024.21,8024.21,2384.97,2385.77
03-02-2026,6,12790.50,25827.15,7187.55,7187.55,2770.94,2762.69
03-02-2026,7,14895.25,16703.88,7887.16,7887.16,3455.57,3459.70
03-02-2026,8,21310.30,15325.95,11171.17,11171.17,5732.40,5852.65
03-02-2026,9,21805.20,17000.65,11854.17,11854.17,4372.90,4377.12
03-02-2026,10,21847.23,21466.35,12175.71,12175.71,3521.95,3526.10
03-02-2026,11,18282.83,25676.28,10302.57,10302.57,2590.73,2591.30
03-02-2026,12,17102.58,31469.40,10285.85,10285.85,2382.99,2382.87
03-02-2026,13,15208.85,39619.03,9994.58,9994.58,2182.77,2182.12
03-02-2026,14,13178.50,45910.73,9964.82,9964.82,1863.12,1863.49
03-02-2026,15,14983.10,42201.35,10249.05,10249.05,1921.73,1922.68
03-02-2026,16,16372.43,35124.08,10598.74,10598.74,2295.09,2293.15
03-02-2026,17,15893.55,26996.63,9740.55,9740.55,2565.39,2560.10
03-02-2026,18,15543.85,17559.10,9436.87,9436.87,3600.00,3612.01
03-02-2026,19,17772.48,13323.35,10002.87,10002.87,5312.43,5313.83
03-02-2026,20,16410.60,12901.83,8930.45,8930.45,4656.01,4663.74
03-02-2026,21,14391.88,14781.58,8584.15,8584.15,3865.87,3867.07
03-02-2026,22,12943.03,18775.50,8235.24,8235.24,3342.67,3341.90
03-02-2026,23,12581.70,24870.65,7625.35,7625.35,2977.57,2978.40
03-02-2026,24,12021.40,29899.33,6912.83,6912.83,2611.96,2613.25
04-02-2026,1,12520.60,31774.65,7484.90,7484.90,2470.43,2470.43
04-02-2026,2,13006.50,35192.28,8047.30,8047.30,2466.27,2466.39
04-02-2026,3,14334.50,35739.85,9322.60,9322.60,2470.48,2470.47
04-02-2026,4,14959.30,36216.75,9839.06,9839.06,2475.63,2475.62
04-02-2026,5,14589.80,34822.68,8999.03,8999.03,2522.94,2521.72
04-02-2026,6,14047.75,24956.10,7549.65,7549.65,3042.80,3048.46
04-02-2026,7,16798.03,16248.65,8621.38,8621.38,3812.86,3825.86
04-02-2026,8,22763.90,14380.98,11128.75,11128.75,7075.24,7116.56
04-02-2026,9,22948.53,16851.33,12148.90,12148.90,4918.44,4894.99
04-02-2026,10,22423.48,21398.83,13099.80,13099.80,3773.09,3772.95
04-02-2026,11,18575.18,26020.40,10705.20,10705.20,2945.59,2948.25
04-02-2026,12,16514.93,32493.45,10191.60,10191.60,2697.97,2697.71
04-02-2026,13,15380.80,40314.83,10678.22,10678.22,2420.33,2415.05
04-02-2026,14,14958.83,47287.48,11616.69,11616.69,2022.97,2027.52
04-02-2026,15,16251.45,40940.98,11060.46,11060.46,2324.17,2323.69
04-02-2026,16,17512.15,32911.33,10697.66,10697.66,2605.75,2599.88
04-02-2026,17,16578.75,24288.65,9654.35,9654.35,2898.20,2895.32
04-02-2026,18,17216.83,15817.05,9383.11,9383.11,3956.03,3966.56
04-02-2026,19,20408.05,12300.65,9362.27,9362.27,6553.75,6539.36
04-02-2026,20,18331.70,11577.83,8087.83,8087.83,5550.13,5572.14
04-02-2026,21,16077.20,13678.65,7939.63,7939.63,4265.63,4261.73
04-02-2026,22,14505.63,18615.05,8032.95,8032.95,3591.28,3590.39
04-02-2026,23,14334.60,24206.78,8275.27,8275.27,3237.75,3239.30
04-02-2026,24,13358.63,28383.78,7142.39,7142.39,2816.12,2819.52
05-02-2026,1,13773.25,33075.45,7791.55,7791.55,2560.27,2561.66
